frame,people_count,fps
0,8,0.3676975595558493
2,8,12.914531335636473
4,8,13.475155977922137
6,8,12.022093366544086
8,8,12.996969452828202
10,8,9.01783656409639
12,8,11.388868825706458
14,8,12.498484735610948
16,8,10.26704624731654
18,8,8.60230649802391
20,8,11.50331443679258
22,8,10.534905333380218
24,7,10.587773194731236
26,8,7.723676675045346
28,8,8.225964235142758
30,7,9.61396559944255
32,7,10.84676754067243
34,7,10.53644027773591
36,7,10.660675025480572
38,7,8.33743283724499
40,7,9.664450809114433
42,7,9.044009263292264
44,8,8.168229176809675
46,8,11.513829869003304
48,9,10.963924141626695
50,8,8.725245418746061
52,7,13.090141908825062
54,8,15.508668917245027
56,8,14.580211422075912
58,9,15.786517319121229
60,8,15.915306652905263
62,8,15.474566953826855
64,8,15.892090147163577
66,8,15.94865164950492
68,7,12.846260336906585
70,8,16.002014413740742
72,8,15.651439275772253
74,8,15.736173693155598
76,8,16.45341283539934
78,9,15.792639672271882
80,8,16.368909911175635
82,9,15.821830582128738
84,8,16.353975123796154
86,8,14.66017014910766
88,7,15.840832697580614
90,8,15.858801110111237
92,8,16.937102245194637
94,8,16.58614362543499
96,8,16.563284615901022
98,8,17.486540008921907
100,6,18.121309789723362
102,7,18.057181234635934
104,7,17.981393992917713
106,5,17.287758071363506
108,5,17.92851341762629
110,6,17.92813024949669
112,5,15.922375503944242
114,6,18.226119604043003
116,6,17.83952397357866
118,4,18.103007885502674
120,4,17.855168215506563
122,4,18.176753296843785
124,4,18.58542961843697
126,5,18.61446355264618
128,5,18.834551757584467
130,6,18.847670275055386
132,4,19.027050567277115
134,4,17.751563835820516
136,5,18.97866525490835
138,5,18.882374126629692
140,5,18.783942102717518
142,4,19.189224800527047
144,4,19.303148845300665
146,4,19.521192968411842
148,5,19.454461121727675
150,4,19.648857178995893
152,4,19.091225227357555
154,6,18.495850421131543
156,6,18.483135471475283
158,6,19.05159546683019
160,6,19.329035231226527
162,6,18.452398549959526
164,8,18.057258974160273
166,9,17.856612513197778
168,9,17.743753754515996
170,11,11.590669551688595
172,11,18.063791484706755
174,11,17.944774829507047
176,12,17.864902738319866
178,11,15.8434655163296
180,9,18.095432032719554
182,9,18.09028095266849
184,9,17.992733075659235
186,10,18.330065859339832
